,adng_nm,registration,elec_registration,ratio,log_ratio,Z_log_ratio,ratio_coef
0,구갈동,16976,832,0.049010368,-3.0157234114171714,3.3219122782516677,1.0
1,구성동,15739,154,0.009784611,-4.6269444336509595,-0.7265061081353278,1.1453012216270655
2,기흥동,9735,136,0.013970211,-4.2708280020334835,0.1682862819589503,1.0
3,남사읍,11548,173,0.014980949,-4.200975951764816,0.3437993374194873,1.0
4,동백동,33975,402,0.01183223,-4.436928114952563,-0.24906350546517775,1.0498127010930356
5,동부동,5748,184,0.032011134,-3.441671499198626,2.2516580757400213,1.0
6,동천동,20555,348,0.016930187,-4.0786570374167,0.6511427341455739,1.0
7,마북동,12698,124,0.009765317,-4.628918252302778,-0.7314656038290585,1.1462931207658116
8,모현읍,12878,192,0.014909147,-4.205780361768264,0.33172758467712604,1.0
9,백암면,3855,67,0.017380026,-4.052433663173628,0.7170326331561861,1.0
10,보라동,13683,141,0.010304758,-4.575149548661217,-0.5963642084085196,1.119272841681704
11,보정동,15719,193,0.012278135,-4.3999352407611765,-0.15611373012393992,1.031222746024788
12,상갈동,4887,42,0.00859423,-4.756664231129645,-1.052445259837202,1.2104890519674405
13,상하동,9993,97,0.009706795,-4.634929123255314,-0.7465687586083499,1.14931375172167
14,상현동,31079,351,0.0112938,-4.483501376406087,-0.36608534503939943,1.07321706900788
15,서농동,10587,115,0.010862378,-4.522450019754043,-0.4639492641906568,1.0927898528381315
16,성복동,22000,297,0.0135,-4.305065593537753,0.08225954010367902,1.0
17,신갈동,14787,183,0.012375735,-4.392017578351739,-0.1362194948618327,1.0272438989723665
18,신봉동,15600,177,0.011346154,-4.4788764471044775,-0.35446456268738047,1.070892912537476
19,양지면,10054,140,0.013924806,-4.274083425043217,0.1601065758936709,1.0
20,역삼동,18791,283,0.015060401,-4.195686430138848,0.3570900010281774,1.0
21,영덕동,25491,425,0.016672551,-4.093991564533116,0.6126125879595576,1.0
22,원삼면,4144,105,0.025337838,-3.675456427381796,1.6642407142133313,1.0
23,유림동,15573,129,0.008283568,-4.793481485529016,-1.1449537658645481,1.2289907531729096
24,이동읍,9848,98,0.009951259,-4.610056203152901,-0.6840720646872764,1.1368144129374553
25,죽전동,27100,249,0.009188192,-4.689836097551679,-0.8845302184049125,1.1769060436809826
26,중앙동,11619,128,0.011016439,-4.508366667224183,-0.42856286931553994,1.085712573863108
27,포곡읍,14602,142,0.009724695,-4.633086752437306,-0.741939543999527,1.1483879087999054
28,풍덕천동,27378,222,0.0081087,-4.814817719634531,-1.1985640410887821,1.2397128082177564
