adng_nm,registration,elec_registration,ratio
구갈동,16976,832,0.049010368
구성동,15739,154,0.009784611
기흥동,9735,136,0.013970211
남사읍,11548,173,0.014980949
동백동,33975,402,0.01183223
동부동,5748,184,0.032011134
동천동,20555,348,0.016930187
마북동,12698,124,0.009765317
모현읍,12878,192,0.014909147
백암면,3855,67,0.017380026
보라동,13683,141,0.010304758
보정동,15719,193,0.012278135
상갈동,4887,42,0.00859423
상하동,9993,97,0.009706795
상현동,31079,351,0.0112938
서농동,10587,115,0.010862378
성복동,22000,297,0.0135
신갈동,14787,183,0.012375735
신봉동,15600,177,0.011346154
양지면,10054,140,0.013924806
역삼동,18791,283,0.015060401
영덕동,25491,425,0.016672551
원삼면,4144,105,0.025337838
유림동,15573,129,0.008283568
이동읍,9848,98,0.009951259
죽전동,27100,249,0.009188192
중앙동,11619,128,0.011016439
포곡읍,14602,142,0.009724695
풍덕천동,27378,222,0.0081087
